T:2.239	nS:9747	nQ:96	nE:81	nI:106	nP:10	nR:56	nF:0	node:[4949]	S -> E
T:2.245	nS:9746	nQ:96	nE:82	nI:106	nP:10	nR:56	nF:0	node:[2933]	S -> E
T:2.258	nS:9745	nQ:96	nE:83	nI:106	nP:10	nR:56	nF:0	node:[8764]	E -> I
T:2.271	nS:9745	nQ:96	nE:82	nI:107	nP:10	nR:56	nF:0	node:[7456]	I -> R
T:2.281	nS:9745	nQ:96	nE:82	nI:106	nP:10	nR:57	nF:0	node:[2933]	E -> I
T:2.290	nS:9745	nQ:96	nE:81	nI:107	nP:10	nR:57	nF:0	node:[3738]	S -> E
T:2.300	nS:9744	nQ:96	nE:82	nI:107	nP:10	nR:57	nF:0	node:[3787]	S -> E
T:2.304	nS:9743	nQ:96	nE:83	nI:107	nP:10	nR:57	nF:0	node:[3347]	E -> I
T:2.317	nS:9743	nQ:96	nE:82	nI:108	nP:10	nR:57	nF:0	node:[62]	S -> E
T:2.323	nS:9742	nQ:96	nE:83	nI:108	nP:10	nR:57	nF:0	node:[9626]	E -> I
T:2.386	nS:9742	nQ:96	nE:82	nI:109	nP:10	nR:57	nF:0	node:[9744]	I -> R
T:2.400	nS:9742	nQ:96	nE:82	nI:108	nP:10	nR:58	nF:0	node:[4081]	S -> E
T:2.401	nS:9741	nQ:96	nE:83	nI:108	nP:10	nR:58	nF:0	node:[6168]	S -> E
T:2.412	nS:9740	nQ:96	nE:84	nI:108	nP:10	nR:58	nF:0	node:[8828]	E -> I
T:2.413	nS:9740	nQ:96	nE:83	nI:109	nP:10	nR:58	nF:0	node:[9006]	S -> E
T:2.414	nS:9739	nQ:96	nE:84	nI:109	nP:10	nR:58	nF:0	node:[7460]	E -> I
T:2.424	nS:9739	nQ:96	nE:83	nI:110	nP:10	nR:58	nF:0	node:[7482]	E -> I
T:2.436	nS:9739	nQ:96	nE:82	nI:111	nP:10	nR:58	nF:0	node:[456]	I -> R
T:2.439	nS:9739	nQ:96	nE:82	nI:110	nP:10	nR:59	nF:0	node:[8517]	S -> E
T:2.478	nS:9738	nQ:96	nE:83	nI:110	nP:10	nR:59	nF:0	node:[3455]	P -> R
T:2.479	nS:9738	nQ:96	nE:83	nI:110	nP:9	nR:60	nF:0	node:[956]	I -> R
T:2.486	nS:9738	nQ:96	nE:83	nI:109	nP:9	nR:61	nF:0	node:[8945]	I -> P
T:2.502	nS:9738	nQ:100	nE:83	nI:108	nP:10	nR:61	nF:0	node:[1591]	S -> E
T:2.505	nS:9737	nQ:100	nE:84	nI:108	nP:10	nR:61	nF:0	node:[361]	S -> E
T:2.529	nS:9736	nQ:100	nE:85	nI:108	nP:10	nR:61	nF:0	node:[5591]	S -> E
T:2.531	nS:9735	nQ:100	nE:86	nI:108	nP:10	nR:61	nF:0	node:[3737]	S -> E
T:2.541	nS:9734	nQ:100	nE:87	nI:108	nP:10	nR:61	nF:0	node:[6824]	S -> E
T:2.548	nS:9733	nQ:100	nE:88	nI:108	nP:10	nR:61	nF:0	node:[8467]	I -> R
T:2.583	nS:9733	nQ:100	nE:88	nI:107	nP:10	nR:62	nF:0	node:[7842]	E -> I
T:2.585	nS:9733	nQ:100	nE:87	nI:108	nP:10	nR:62	nF:0	node:[4353]	I -> R
T:2.588	nS:9733	nQ:100	nE:87	nI:107	nP:10	nR:63	nF:0	node:[3922]	S -> E
T:2.589	nS:9732	nQ:100	nE:88	nI:107	nP:10	nR:63	nF:0	node:[153]	S -> E
T:2.619	nS:9731	nQ:100	nE:89	nI:107	nP:10	nR:63	nF:0	node:[8588]	E -> I
T:2.630	nS:9731	nQ:100	nE:88	nI:108	nP:10	nR:63	nF:0	node:[1996]	S -> E
T:2.631	nS:9730	nQ:100	nE:89	nI:108	nP:10	nR:63	nF:0	node:[7316]	I -> R
T:2.640	nS:9730	nQ:100	nE:89	nI:107	nP:10	nR:64	nF:0	node:[1620]	E -> I
T:2.648	nS:9730	nQ:100	nE:88	nI:108	nP:10	nR:64	nF:0	node:[9626]	I -> P
T:2.687	nS:9730	nQ:105	nE:88	nI:107	nP:11	nR:64	nF:0	node:[1716]	E -> I
T:2.696	nS:9730	nQ:105	nE:87	nI:108	nP:11	nR:64	nF:0	node:[5047]	S -> E
T:2.730	nS:9729	nQ:105	nE:88	nI:108	nP:11	nR:64	nF:0	node:[2611]	S -> E
T:2.732	nS:9728	nQ:105	nE:89	nI:108	nP:11	nR:64	nF:0	node:[8621]	S -> E
T:2.744	nS:9727	nQ:105	nE:90	nI:108	nP:11	nR:64	nF:0	node:[371]	S -> E
T:2.755	nS:9726	nQ:105	nE:91	nI:108	nP:11	nR:64	nF:0	node:[705]	I -> R
T:2.757	nS:9726	nQ:105	nE:91	nI:107	nP:11	nR:65	nF:0	node:[973]	I -> R
T:2.771	nS:9726	nQ:105	nE:91	nI:106	nP:11	nR:66	nF:0	node:[5670]	I -> R
T:2.786	nS:9726	nQ:105	nE:91	nI:105	nP:11	nR:67	nF:0	node:[2464]	I -> R
T:2.797	nS:9726	nQ:105	nE:91	nI:104	nP:11	nR:68	nF:0	node:[4596]	E -> I
T:2.827	nS:9726	nQ:105	nE:90	nI:105	nP:11	nR:68	nF:0	node:[770]	I -> P
T:2.829	nS:9726	nQ:131	nE:90	nI:104	nP:12	nR:68	nF:0	node:[1641]	I -> R
T:2.912	nS:9726	nQ:131	nE:90	nI:103	nP:12	nR:69	nF:0	node:[8615]	I -> R
T:2.915	nS:9726	nQ:131	nE:90	nI:102	nP:12	nR:70	nF:0	node:[8372]	P -> R
T:2.917	nS:9726	nQ:131	nE:90	nI:102	nP:11	nR:71	nF:0	node:[3672]	I -> R
T:2.923	nS:9726	nQ:131	nE:90	nI:101	nP:11	nR:72	nF:0	node:[6603]	S -> E
T:2.930	nS:9725	nQ:131	nE:91	nI:101	nP:11	nR:72	nF:0	node:[5923]	S -> E
T:2.990	nS:9724	nQ:131	nE:92	nI:101	nP:11	nR:72	nF:0	node:[465]	S -> E
T:3.014	nS:9723	nQ:131	nE:93	nI:101	nP:11	nR:72	nF:0	node:[3584]	E -> I
T:3.033	nS:9723	nQ:131	nE:92	nI:102	nP:11	nR:72	nF:0	node:[8254]	S -> E
T:3.069	nS:9722	nQ:55	nE:93	nI:102	nP:11	nR:72	nF:0	node:[7599]	I -> R
T:3.070	nS:9722	nQ:55	nE:93	nI:101	nP:11	nR:73	nF:0	node:[7323]	S -> E
T:3.074	nS:9721	nQ:55	nE:94	nI:101	nP:11	nR:73	nF:0	node:[9923]	S -> E
